titulo,autores,resumo,link,data,imagem_url,fonte
QAFE $^2$ : Quantum Accelerated Multiscale Finite Element Analysis,"Yiren Wang , Michael Ortiz , Fehmi Cirak","The computational cost of concurrent multiscale finite element methods is dominated by the repeated solution of microscopic representative volume element (RVE) problems at macroscopic quadrature points. In this work, we introduce a quantum-classical framework for multiscale finite element analysis (QAFE $^2$ ) that leverages quantum parallelism to fundamentally alter the scaling of RVE-based homogenisation. At the single-RVE level, the proposed quantum solver attains polylogarithmic complexity with respect to the microscopic discretisation size, yielding an exponential asymptotic speedup over the best available classical solvers. More importantly, QAFE $^2$ exploits quantum superposition and entanglement to evaluate, in a single quantum execution, the entire ensemble of RVE problems associated with all macroscopic quadrature points. This capability is a form of intrinsic quantum concurrency with no classical analogue. Numerical experiments on one- and two-dimensional model problems with known analytical solutions confirm the accuracy of the proposed formulation and verify the theoretical computational scaling and parallel performance. △ Less",https://arxiv.org/abs/2604.06130,"Submitted 7 April, 2026",,arXiv
Gym-Anything: Turn any Software into an Agent Environment,"Pranjal Aggarwal , Graham Neubig , Sean Welleck","Computer-use agents hold the promise of assisting in a wide range of digital economic activities. However, current research has largely focused on short-horizon tasks over a limited set of software with limited economic value, such as basic e-commerce and OS-configuration tasks. A key reason is that creating environments for complex software requires significant time and human effort, and therefore does not scale. To address this, we introduce Gym-Anything, a framework for converting any software into an interactive computer-use environment. We frame environment creation itself as a multi-agent task: a coding agent writes setup scripts, downloads real-world data, and configures the software, while producing evidence of correct setup. An independent audit agent then verifies evidence for the environment setup against a quality checklist. Using a taxonomy of economically valuable occupations grounded in U.S. GDP data, we apply this pipeline to 200 software applications with broad occupational coverage. The result is CUA-World, a collection of over 10K long-horizon tasks spanning domains from medical science and astronomy to engineering and enterprise systems, each configured with realistic data along with train and test splits. CUA-World also includes CUA-World-Long, a challenging long-horizon benchmark with tasks often requiring over 500 steps, far exceeding existing benchmarks. Distilling successful trajectories from the training split into a 2B vision-language model outperforms models 2 $\times$ its size. We also apply the same auditing principle at test time: a separate VLM reviews completed trajectories and provides feedback on what remains, improving Gemini-3-Flash on CUA-World-Long from 11.5% to 14.0%. We release all code, infrastructure, and benchmark data to facilitate future research in realistic computer-use agents. △ Less",https://arxiv.org/abs/2604.06126,"Submitted 7 April, 2026",,arXiv
Nonvariational quantum optimisation approaches to pangenome-guided sequence assembly,"Josh Cudby , Sergii Strelchuk","Assembling genomes from short-read sequencing data remains difficult in repetitive regions, where reference bias and combinatorial complexity limit existing methods. Pangenome-guided sequence assembly (PGSA) mitigates reference bias by reconstructing an individual genome as a walk through a population-level graph. The associated problem, identifying a walk whose node visits match read-derived copy numbers, is NP-hard and already challenges classical solvers at a moderate scale. We develop near-term quantum optimisation approaches for this computational bottleneck. We consider two problem encodings: an established quadratic unconstrained binary optimisation and a new higher-order binary optimisation (HUBO) formulation. The latter reduces the number of variables from $O(N^2)$ to $O(N\log N)$ and places moderate-sized instances within the qubit budget of current devices. We solve both using the Iterative-QAOA framework, which combines a fixed linear-ramp QAOA schedule with iterative warm-start bias updates, avoiding the overhead of full variational parameter optimisation. A custom circuit compilation strategy reduces hardware gate overhead by up to 67\% compared with standard tools. In noiseless simulations of QUBO problems, Iterative-QAOA reliably identifies optimal assemblies from as few as $10^{-17}\%$ of all candidate solutions, and \textit{IBM} quantum hardware closely reproduces relevant results with sufficient sampling via CVaR-style post-selection. For HUBO, the variable reduction comes at the cost of deeper compiled circuits and greater noise sensitivity: an expected qubit--depth trade-off. Our findings establish pangenome assembly as a concrete, biologically motivated problem class at the scale where quantum optimisation may first provide practical value. △ Less",https://arxiv.org/abs/2604.06106,"Submitted 7 April, 2026",,arXiv
UI Placement as a Critical Design Factor for Augmented Reality During Locomotion,"Pavel Manakhov , Hans Gellersen","Wearable augmented reality (AR) represents the next interface to all things computing, extending what smartphones and laptops can do. This involves providing access to digital information during activities like walking or jogging. In this work we argue that the impact of physical movement on AR interaction is not direct, but mediated by UI placement - the spatial relationship between the user and the interface. Current research often treats interaction techniques in isolation, overlooking how their performance is fundamentally linked to where the UI is placed. This position paper highlights the need to reconceptualize UI placement beyond traditional anchoring views, explore novel interaction techniques designed for specific UI placements during locomotion, and rigorously evaluate UI placement as an independent variable in experimental studies. By centering the analysis on the relative movement between user and interface, we can unlock more effective on-the-go AR interaction. △ Less",https://arxiv.org/abs/2604.06102,"Submitted 7 April, 2026",,arXiv
Scientific Graphics Program Synthesis via Dual Self-Consistency Reinforcement Learning,"Juekai Lin , Yun Zhu , Honglin Lin , Sijing Li , Tianwei Lin , Zheng Liu , Xiaoyang Wang , Wenqiao Zhang , Lijun Wu","Graphics Program Synthesis is pivotal for interpreting and editing visual data, effectively facilitating the reverse-engineering of static visuals into editable TikZ code. While TikZ is the de facto standard for scientific schematics due to its programmatic flexibility, its requirement for rigorous spatial precision presents a significant challenge for Multimodal Large Language Models. Progress is currently stifled by two primary gaps: (1) Data Quality Gap: existing image-TikZ corpora often lack strict executability and reliable visual alignment; ( 2 ) Evaluation Gap: a lack of benchmarks for both structural and visual fidelity. To address these, we present a closed-loop framework featuring: SciTikZ-230K, a large-scale, high-quality dataset from our Execution-Centric Data Engine covering 11 diverse scientific disciplines; SciTikZ-Bench, a multifaceted benchmark spanning from basic geometric constructs to intricate hierarchical schematics to evaluate both visual fidelity and structural logic. To further broaden the scope of visual-code optimization methodology, we introduce a novel Dual Self-Consistency Reinforcement Learning optimization paradigm, which utilizes Round-Trip Verification to penalize degenerate code and boost overall self-consistency. Empowered by these, our trained model SciTikZer-8B achieves state-of-the-art performance, consistently outperforming proprietary giants like Gemini-2.5-Pro and massive models like Qwen3-VL-235B-A22B-Instruct. △ Less",https://arxiv.org/abs/2604.06079,"Submitted 7 April, 2026",,arXiv
The HTC-Claw: Automating Discovery through High-Throughput Computational Campaigns,"Lianduan Zeng , Xiao Zhou , Xueru Zheng , Ning Gao , Lei Liu , Yunxuan Cao , Hongjian Chen , Zhongyang Wang , Tongxiang Fan","With the advancement of the Materials Genome Initiative, high-throughput computation has become central to accelerating materials discovery. However, conventional first-principles workflows are cumbersome and error-prone. Existing high-throughput tools, while efficient at batch job submission, lack intelligence: they cannot automatically plan tasks based on scientific objectives or dynamically adapt workflows according to intermediate results. To address these limitations, this paper proposes and implements HTC-Claw, an intelligent high-throughput computational platform built upon the OpenClaw framework. The key innovations of HTC-Claw are: 1) An agent-based framework for automatic decomposition of high-level research goals into parallelizable task sets; 2 ) A closed-loop execution engine that integrates real-time analysis and reporting; 3) Adaptive decision-making and workflow iteration capabilities based on intermediate results; and 4) A decoupled, modular architecture that separates the scheduling system from functional modules, enhancing extensibility and robustness. Case studies demonstrate that HTC-Claw enables an intelligent, end-to-end workflow from user intent to final reporting in materials exploration △ Less",https://arxiv.org/abs/2604.06076,"Submitted 7 April, 2026",,arXiv
Late Breaking Results: Hardware-Efficient Quantum Reservoir Computing via Quantized Readout,"Param Pathak , Mansi Od , Nouhaila Innan , Muhammad Shafique","Due to rising electricity demand, accurate short-term load forecasting is increasingly important for grid stability and efficient energy management, particularly in resource-constrained edge settings. We present a hardware-efficient Quantum Reservoir Computing (QRC) framework based on a fixed, untrained quantum circuit with Chebyshev feature encoding, brickwork entanglement, and single- and two-qubit Pauli measurements, avoiding quantum backpropagation entirely. Using the Tetouan City Power Consumption dataset, we examine the effect of post-training fixed-point quantization on the classical readout layer, with the reservoir architecture selected through a genetic search over 18 candidate configurations. Under finite-shot evaluation, 8-bit and 6-bit quantization maintain forecasting accuracy within 1% of the FP32 baseline while reducing readout memory by 75% and 81%, respectively. These results suggest that quantized readout can improve the hardware efficiency and deployment practicality of QRC for memory-constrained energy forecasting. △ Less",https://arxiv.org/abs/2604.06075,"Submitted 7 April, 2026",,arXiv
Star-planet magnetic interactions in photoevaporating exoplanets,"Andrés Presa , Aline A. Vidotto , Filip Elekes","Observations of periodic stellar activity near the transit phase of a close-in exoplanet provide evidence of star-planet magnetic interactions (SPMI), similar to the magnetic coupling between Jupiter and its moons. Comparing the power associated with SPMI signals to analytical theories offers a way to constrain exoplanetary magnetic fields, but models based on moon-magnetosphere analogs often underpredict observed energy fluxes. Unlike moons, many close-in exoplanets are extended, highly irradiated gas giants undergoing significant photoevaporation. However, it is not known how atmospheric escape influences the star-planet magnetic coupling. Here, we present three-dimensional radiation magneto-hydrodynamic simulations that simultaneously model planetary evaporation and SPMI in a hot Jupiter planet embedded in a magnetised stellar wind. Our simulations reveal the formation of magnetic structures known as Alfvén wings, which transport magnetic energy away from the planet. When the dayside mass-loss rate $\dot{M}_d$ of the planet lies below a threshold $\dot{M}_0$ defined by pressure balance between the planetary and stellar winds ($\dot{M}_d \leq \dot{M}_0$), the maximal power delivered to the star matches predictions from the Alfvén wing model. For higher escape rates, the planetary outflow opens additional magnetic flux, and the SPMI power increases proportionally with $(\dot{M}_d / \dot{M}_0)^{1/2}$ . Applying this scaling law to the HD18973 system, we find that a $30$ G planet could reproduce the observed power if $\dot{M}_d \sim 10^{12}$ g/s. Although this signal likely represents only a fraction of the total power, additional mechanisms could amplify the energy budget. These results show that photoevaporating exoplanets in sub-Alfvénic orbits constitute promising targets for SPMI observations. △ Less",https://arxiv.org/abs/2604.06064,"Submitted 7 April, 2026",,arXiv
"non-minimal coupling, and the long range gravitational potential for different spin fields from 2 - 2 scattering amplitudes","Avijit Sen Majumder , Ayan Kumar Naskar , Sourav Bhattacharya","In this paper we investigate the long range gravitational effect of curvature-scalar field non-minimal coupling, in the form of $ξR φ^2$ , in the perturbative quantum gravity framework. Such coupling is most naturally motivated from the renormalisation of a scalar field theory with a quartic self interaction in a curved spacetime background. This coupling results in two scalar-$n$ graviton vertices which contain no explicit momenta of the scalar, qualitatively different from the usual, e.g. $κh^{μν}T_{μν}$-type minimal matter-graviton vertices. Assuming the dimensionless coupling parameter $ξ$ to be small, we compute the 2 - 2 scattering Feynman amplitudes between such scalars up to ${\cal O}(G^2 ξ)$ . From the non-relativistic limit of these amplitudes, we compute the corresponding long range gravitational potential. There exists no tree level contribution $({\cal O}(ξG))$ here, and hence the one loop ${\cal O}(G^2 ξ)$ result is leading. Recently, the effect of a cosmological constant in such non-minimal interaction and the subsequent gravitational potential was computed. In this work we take the cosmological constant to be vanishing. The resulting potential is found to have $r^{-4}$ leading behaviour. We further extend these results for scalar-massive spin-1 and massive spin-1/ 2 scattering. Spin and polarisation dependence of the two body potential have been explicitly demonstrated. We discuss some possible physical implications of these results. △ Less",https://arxiv.org/abs/2604.06062,"Submitted 7 April, 2026",,arXiv
The moduli space of conically singular instantons over an SU(3)-manifold,"Dominik Gutwein , Yuanqi Wang","In this article we study the moduli space of conically singular instantons (or Hermitian Yang--Mills connections) with prescribed tangent connections over a 6-manifold equipped with an $\mathrm{SU}(3)$-structure. That is, we develop a Fredholm deformation theory for such $\mathrm{SU}(3)$-instantons in which we fix the tangent connection but allow the underlying principal bundle (and, in particular, the singular set) to vary. This leads to the existence of a Kuranishi structure for this moduli space. Moreover, we investigate the cokernel of the instanton deformation operator and give under certain assumptions a formula for its dimension. Ultimately, we apply our results to conically singular instantons with structure group $\mathbb{P}\mathrm{U}(n)$ and give a formula for the virtual dimension of their moduli space in terms of sheaf cohomology of certain vector bundles over $\mathbb{P}^2$ . △ Less",https://arxiv.org/abs/2604.06057,"Submitted 7 April, 2026",,arXiv
Probing Kerr Symmetry Breaking with LISA Extreme-Mass-Ratio Inspirals,"Pablo F. Muguruza , Carlos F. Sopuerta","Extreme-Mass-Ratio Inspirals (EMRIs) are one of the main sources of gravitational waves expected in the low-frequency band, where space-based detectors like Laser Interferometer Space Antenna (LISA) will operate. The large number of gravitational-wave cycles accumulated in the EMRI signal in the strong-field regime makes them precise probes of the local spacetime geometry, highly sensitive to deviations from the Kerr black hole paradigm. In this work, we investigate EMRIs around generic, non-Kerr compact objects characterized by a rich multipolar structure. At leading post-Newtonian and linear mass-ratio orders, we incorporate in the waveform model both axisymmetric and non-axisymmetric components of the mass quadrupole and octupole moments, parameterizing the breaking of two fundamental symmetries of the Kerr metric. We study the impact of these modifications on the waveform following the philosophy of EMRI \emph{Analytic Kludge} models. Then, using Fisher-matrix analysis, we assess LISA's capability to constrain deviations of the multipole moments from their Kerr values and the detection of symmetry-breaking effects. We analyze how effectively LISA will probe models beyond General Relativity that predict horizon-scale modifications, such as the fuzzball model proposed in string theory. Our results demonstrate that future LISA observations of EMRIs will provide powerful tests of black hole structure and the underlying theory of gravity. In particular, with one year of LISA data from the inspiral of a $10 M_{\odot}$ compact object into a rotating supermassive black hole of $10^{6} M_{\odot}$ and signal-to-noise ratio of 30, it will be possible to place tight bounds on deviations from the two fundamental symmetries of the Kerr metric, constraining equatorial symmetry breaking to the $10^{-2}$ level and axial symmetry breaking to the $10^{-3}$ level. △ Less",https://arxiv.org/abs/2604.06053,"Submitted 7 April, 2026",,arXiv
Theta Cycles of Modular Forms Modulo $p^2$,"Scott Ahlgren , Martin Raum , Olav K. Richter","The theta cycle of a modular form modulo a prime $p\geq 5$ is well understood. By contrast, the theta cycle modulo a power of $p$ is still mysterious and experimentally erratic. Here we completely determine the theta cycle of a weight $k < p$ modular form modulo $p^2$ on the initial segment of length $p$ and we prove exact values or nontrivial bounds for the weight filtrations on $p-2$ further segments of length $p - k + 1$. In particular, asymptotically as $p \to \infty$ we establish 50% of the theta cycle exactly, and we provide nontrivial bounds for 100% of it. We determine the first two low points exactly and $\left\lfloor \frac{p - k + 1}{2} \right\rfloor$ further low points at regular positions. Moreover, we detect low points at exceptional positions which solve a quadratic equation modulo $p$, and which disturb the otherwise regular structure in the segments that we exhibit. △ Less",https://arxiv.org/abs/2604.06049,"Submitted 7 April, 2026",,arXiv
$k$-Clustering via Iterative Randomized Rounding,"Jarosław Byrka , Yuhao Guo , Yang Hu , Shi Li , Chengzhang Wan , Zaixuan Wang","In this work we propose a single rounding algorithm for the fractional solutions of the standard LP relaxation for $k$-clustering. As a starting point, we obtain an iterative rounding $(\frac{3^p + 1}{2})$ -Lagrangian Multiplier-Perserving (LMP) approximation for the $k$-clustering problem with the cost function being the $p$-th power of the distance. Such an algorithm outputs a random solution that opens $k$ facilities \emph{in expectation}, whose cost in expectation is at most $\frac{3^p + 1}{2}$ times the optimum cost. Thus, we recover the $2$ -LMP approximation for $k$-median by Jain et al.~[JACM'03], which played a central role in deriving the current best $2$ approximation for $k$-median. Unlike the result of Jain et al., our algorithm is based on LP rounding, and it can be easily adapted to the $L_p^p$-cost setting. For the Euclidean $k$-means problem, the LMP factor we obtain is $\frac{11}{3}$, which is better than the $5$ approximation given by this framework for general metrics.
  Then, we show how to convert the LMP-approximation algorithms to a true-approximation, with only a $(1+\varepsilon)$ factor loss in the approximation ratio. We obtain a ( $\frac{3^p + 1}{2}+\varepsilon$ )-approximation algorithm for $k$-clustering with cost function being the $p$-th power of the distance, for $p \geq 1$. This reproduces the best known ( $2+\varepsilon$ )-approximation for $k$-median by Cohen-Addad et al. [STOC'25], and improves the approximation factor for metric $k$-means from 5.83 by Charikar at al. [FOCS'25] to $5+\varepsilon$ in our framework. Moreover, the same algorithm, but with a specialized analysis, attains ($4+\varepsilon$)-approximation for Euclidean $k$-means matching the recent result by Charikar et al. [STOC'26]. △ Less",https://arxiv.org/abs/2604.06046,"Submitted 7 April, 2026",,arXiv
